,,城市,财政自给率(%),个人储蓄率(%)
第一象限（Gov强+民富）,417,沈阳,71.1284,167.6278
第一象限（Gov强+民富）,75,北京,75.897,141.7312
第一象限（Gov强+民富）,379,杭州,98.1408,116.858
第一象限（Gov强+民富）,37,乌鲁木齐,79.7603,131.1761
第一象限（Gov强+民富）,18,上海,84.8031,118.8832
第一象限（Gov强+民富）,227,大连,71.3982,130.3106
第一象限（Gov强+民富）,322,成都,74.6823,123.3102
第一象限（Gov强+民富）,455,海口,69.4117,127.6937
第二象限（Gov弱+民富）,208,哈尔滨,26.8647,200.3923
第二象限（Gov弱+民富）,493,石家庄,58.5303,180.7905
第二象限（Gov弱+民富）,265,太原,59.1445,179.7644
第二象限（Gov弱+民富）,645,长春,40.473,153.9107
第二象限（Gov弱+民富）,56,兰州,45.9992,150.6992
第二象限（Gov弱+民富）,531,西宁,33.5328,148.988
第二象限（Gov弱+民富）,550,西安,64.1777,139.1366
第二象限（Gov弱+民富）,246,天津,58.8391,134.2325
第二象限（Gov弱+民富）,626,银川,46.8974,117.4593
第三象限（Gov弱+民弱）,341,拉萨,25.9246,80.0079
第三象限（Gov弱+民弱）,189,呼和浩特,43.8644,91.828
第三象限（Gov弱+民弱）,170,合肥,60.4031,79.8496
第三象限（Gov弱+民弱）,607,重庆,46.1742,99.4859
第三象限（Gov弱+民弱）,132,南昌,55.9756,96.3562
第三象限（Gov弱+民弱）,113,南宁,47.8249,111.9736
第三象限（Gov弱+民弱）,569,贵阳,62.6347,98.0477
第四象限（Gov强+民弱）,94,南京,93.5939,92.3843
第四象限（Gov强+民弱）,151,厦门,88.1184,76.2158
第四象限（Gov强+民弱）,474,深圳,83.265,83.5802
第四象限（Gov强+民弱）,284,宁波,80.2768,89.5734
第四象限（Gov强+民弱）,683,青岛,77.8449,84.7404
第四象限（Gov强+民弱）,436,济南,77.5185,98.1986
第四象限（Gov强+民弱）,664,长沙,75.9967,81.3677
第四象限（Gov强+民弱）,588,郑州,75.7051,98.7693
第四象限（Gov强+民弱）,512,福州,73.1852,80.504
第四象限（Gov强+民弱）,303,广州,70.2512,104.3875
第四象限（Gov强+民弱）,398,武汉,67.2031,86.4606
第四象限（Gov强+民弱）,360,昆明,64.925,109.9182
